seed,phase,full_reward,isolation_reward,reward_difference,recovery_difference,accuracy_difference,post_risk_difference,same_selected_arm_episodes,different_selected_arm_episodes,first_selected_arm_difference_episode,first_10_reward_difference,last_90_reward_difference,full_arm_counts,isolation_arm_counts,full_updates_before_D,isolation_updates_before_D,full_updates_after_D,isolation_updates_after_D,full_cumulative_reward_at_D_start,isolation_cumulative_reward_at_D_start
20260821,D,0.29510804886314995,0.3048085062415191,0.009700457378369165,0.0,0.0,-0.002603402046611608,26,74,1,0.012175895645727242,0.009425408681995928,"{""light"": 32, ""medium"": 31, ""strong"": 37}","{""light"": 38, ""medium"": 36, ""strong"": 26}",0,100,100,200,0.0,29.380097960573494
20260822,D,0.2823122926878178,0.27346843456031095,-0.008843858127506876,-0.010000000000000009,-0.010000000000000009,0.0007990412135550073,29,71,1,0.018504228242949283,-0.011882534390890875,"{""light"": 36, ""medium"": 34, ""strong"": 30}","{""light"": 29, ""medium"": 38, ""strong"": 33}",0,100,100,200,0.0,30.921555296640157
20260823,D,0.29092308914908677,0.28193079516242875,-0.008992293986658018,-0.010000000000000009,-0.010000000000000009,-0.00190732789811765,28,72,1,0.008823778823758066,-0.010971857632259774,"{""light"": 38, ""medium"": 31, ""strong"": 31}","{""light"": 32, ""medium"": 36, ""strong"": 32}",0,100,100,200,0.0,28.807267793615956
20260824,D,0.30109777577744673,0.30036633429271675,-0.0007314414847299777,0.0,0.0,0.0006878175705364309,28,72,1,-0.006551099936167398,-8.481276790356373e-05,"{""light"": 39, ""medium"": 33, ""strong"": 28}","{""light"": 31, ""medium"": 43, ""strong"": 26}",0,100,100,200,0.0,30.117831243897417
20260825,D,0.31377391035796837,0.3167342951267986,0.00296038476883026,0.0,0.0,0.00302141726216848,38,62,2,0.011297401227822301,0.0020340496067199343,"{""light"": 36, ""medium"": 38, ""strong"": 26}","{""light"": 42, ""medium"": 33, ""strong"": 25}",0,100,100,200,0.0,29.139463817947636
20260826,D,0.2699182937395272,0.27690905375632285,0.006990760016795661,0.010000000000000009,0.010000000000000009,0.0011425253822514858,40,60,2,0.030944261985529298,0.004329259798047436,"{""light"": 33, ""medium"": 35, ""strong"": 32}","{""light"": 42, ""medium"": 29, ""strong"": 29}",0,100,100,200,0.0,27.065356799205816
20260827,D,0.29953957794220587,0.3028792756636935,0.0033396977214876222,0.010000000000000009,0.009999999999999898,-0.002218733258724903,30,70,1,-0.03283097079294078,0.007358660889757562,"{""light"": 42, ""medium"": 30, ""strong"": 28}","{""light"": 34, ""medium"": 38, ""strong"": 28}",0,100,100,200,0.0,25.910810402778985
20260828,D,0.2795083696226193,0.2857155253937023,0.006207155771082995,0.0,0.0,-0.00023451946013566816,39,61,2,0.0021978940141280656,0.006652629299633617,"{""light"": 34, ""medium"": 34, ""strong"": 32}","{""light"": 41, ""medium"": 36, ""strong"": 23}",0,100,100,200,0.0,30.038046337473602
20260829,D,0.2965094431970525,0.2923792764347991,-0.004130166762253418,0.0,0.0,-0.00026529147133225184,46,54,2,-0.01104887994392928,-0.0033614208531783096,"{""light"": 46, ""medium"": 31, ""strong"": 23}","{""light"": 39, ""medium"": 34, ""strong"": 27}",0,100,100,200,0.0,32.857796417467526
20260830,D,0.2955495734719763,0.2938157079599035,-0.0017338655120727742,-0.010000000000000009,-0.009999999999999898,-0.00040262075458880053,35,65,1,0.017935910300597657,-0.003919396157925026,"{""light"": 42, ""medium"": 28, ""strong"": 30}","{""light"": 37, ""medium"": 41, ""strong"": 22}",0,100,100,200,0.0,24.680485061675586
